iter	Passed	Remaining
0	2	280
1	31	1533
2	34	1101
3	36	870
4	38	740
5	41	655
6	44	593
7	46	537
8	48	493
9	51	461
10	54	437
11	56	415
12	59	395
13	61	376
14	63	358
15	65	343
16	67	329
17	69	317
18	72	307
19	74	296
20	76	285
21	78	277
22	80	269
23	82	261
24	84	254
25	87	247
26	89	241
27	91	234
28	93	227
29	95	222
30	97	217
31	99	212
32	102	207
33	104	202
34	106	197
35	108	193
36	110	188
37	112	184
38	115	180
39	117	176
40	119	172
41	120	166
42	122	162
43	125	159
44	127	155
45	130	152
46	132	149
47	134	145
48	136	142
49	138	138
50	140	135
51	142	131
52	145	128
53	147	125
54	148	121
55	150	118
56	152	115
57	154	111
58	156	108
59	159	106
60	161	103
61	163	100
62	165	97
63	168	94
64	170	91
65	172	88
66	174	86
67	176	83
68	178	80
69	181	77
70	185	75
71	190	74
72	194	71
73	198	69
74	201	67
75	204	64
76	206	61
77	208	58
78	210	56
79	216	54
80	227	53
81	230	50
82	233	47
83	236	45
84	238	42
85	241	39
86	243	36
87	246	33
88	248	30
89	250	27
90	252	24
91	254	22
92	256	19
93	258	16
94	260	13
95	262	10
96	264	8
97	266	5
98	268	2
99	271	0
